Experiment_ID,Phase,Config_ID,Variant,Mode,Dataset,Sample_Size,Num_Tasks,Translator,Optimizer,Pass@1_%,Pass@1_Count,Latency_Mean_s,Latency_Median_s,Latency_P90_s,Latency_P95_s,Latency_StdDev,CPU_Avg_%,CPU_Peak_%,Memory_Avg_MB,Memory_Peak_MB,Timestamp,Git_Commit,CPU_Model,CPU_Cores,Status
3A.1-C4-Full-CLOUD-164,3A,C4,Full,CLOUD,HUMANEVAL,164,164,ON,ON,94.51,155,41.78,36.03,72.54,82.05,29.47,0.15,8.0,192.4,193.2,2026-04-21T18:15:28.124472+00:00,ddd283c3,x86_64,12,Good
3A.2-C4-NoOpt-CLOUD-164,3A,C4,NoOpt,CLOUD,HUMANEVAL,164,164,ON,OFF,0.0,0,41.08,36.52,74.54,84.56,26.52,0.15,8.0,192.1,192.5,2026-04-21T15:58:10.769566+00:00,84d6118a,x86_64,12,Fail
3A.3-C4-NoTrans-CLOUD-164,3A,C4,NoTrans,CLOUD,HUMANEVAL,164,164,OFF,ON,96.95,159,27.41,19.76,50.03,56.53,34.01,0.2,10.0,192.0,192.8,2026-04-22T00:51:49.871337+00:00,d5f15b25,x86_64,12,Optimal
3A.4-C4-Neither-CLOUD-164_PLACEHOLDER,3A,C4,Neither,CLOUD,HUMANEVAL,164_PLACEHOLDER,164,OFF,OFF,1.2,2,18.5,16.2,28.4,32.1,8.3,0.22,8.0,182.5,183.2,2026-04-28T00:00:00.000000+00:00,PENDING,x86_64,12,Poor
3A.5-C4-Full-CLOUD-164,3A,C4,Full,CLOUD,3LM,164,164,ON,ON,88.42,145,21.8,18.01,39.03,46.03,12.2,0.27,4.0,226.7,239.0,2026-04-21T22:10:27.341714+00:00,50fa96f2,x86_64,12,Good
3A.6-C4-NoOpt-CLOUD-164,3A,C4,NoOpt,CLOUD,3LM,164,164,ON,OFF,0.0,0,24.58,16.26,40.53,50.53,36.34,0.27,8.0,204.5,205.1,2026-04-21T23:26:17.290462+00:00,51484d37,x86_64,12,Fail
3A.7-C4-NoTrans-CLOUD-164,3A,C4,NoTrans,CLOUD,3LM,164,164,OFF,ON,93.9,154,19.2,15.51,31.52,38.52,20.19,0.24,4.0,230.6,239.7,2026-04-22T01:08:06.652145+00:00,16b8f6c4,x86_64,12,Good
3A.8-C4-Neither-CLOUD-164,3A,C4,Neither,CLOUD,3LM,164,164,ON,OFF,0.0,0,22.25,17.26,42.02,46.53,21.68,0.25,10.0,204.4,205.0,2026-04-22T01:16:23.764181+00:00,b17071b1,x86_64,12,Fail
2.1-C2-CLOUD-164,Legacy,2.1,CLOUD_164,C2,HUMANEVAL,50,164,OFF,ON,94.51,155,16.92,15.01,26.52,33.02,9.3,0.25,7.4,192.4,193.1,2026-04-21T04:19:06.679925+00:00,b7eaf820,x86_64,12,Good
2.2-C4-CLOUD-164,Legacy,2.2,CLOUD_164,C4,HUMANEVAL,50,164,ON,ON,93.9,154,30.52,21.77,50.54,68.55,28.85,0.21,7.4,192.7,193.5,2026-04-21T08:15:39.317903+00:00,4ea14937,x86_64,12,Good
