label,file_name,dataset,timestamp,use_optimizer,use_translator,shared_llm,cloud_llm,num_tasks,attempts_per_task,pass_at_1_pct,lat_mean,lat_median,lat_p95,cpu_avg_pct,cpu_peak_pct,mem_avg_mb,mem_peak_mb
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T03:53:31.852837+00:00.json,humaneval,2025-10-26T03:53:31.852837+00:00,False,False,False,False,1.0,1.0,100.0,122.8083,122.8083,122.8083,0.2,5.0,200.4954309463501,200.71484375
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T04:00:10.691718+00:00.json,humaneval,2025-10-26T04:00:10.691718+00:00,False,False,False,False,1.0,1.0,100.0,43.7262,43.7262,43.7262,0.83,9.9,198.60321044921875,198.6875
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T04:21:53.714874+00:00.json,humaneval,2025-10-26T04:21:53.714874+00:00,False,False,False,False,50.0,1.0,88.0,19.9143,16.7528,33.7061,1.33,10.0,198.8877248764038,199.1875
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T04:48:21.951717+00:00.json,humaneval,2025-10-26T04:48:21.951717+00:00,False,False,False,False,5.0,1.0,80.0,24.5313,21.0227,31.0358,1.02,4.0,197.81711292266846,197.859375
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:00:35.690052+00:00.json,humaneval,2025-10-26T05:00:35.690052+00:00,False,False,False,False,5.0,1.0,80.0,27.5371,24.5375,28.0324,0.93,4.0,199.88984298706055,199.93359375
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:08:10.567393+00:00.json,humaneval,2025-10-26T05:08:10.567393+00:00,False,False,False,False,1.0,1.0,100.0,16.5189,16.5189,16.5189,1.21,4.0,199.80184650421143,199.8359375
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:16:12.563416+00:00.json,humaneval,2025-10-26T05:16:12.563416+00:00,False,False,False,False,1.0,1.0,100.0,34.5392,34.5392,34.5392,0.87,4.0,199.58412551879883,199.5859375
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:18:10.238222+00:00.json,humaneval,2025-10-26T05:18:10.238222+00:00,False,False,False,False,1.0,1.0,100.0,29.5367,29.5367,29.5367,0.88,4.0,199.86506843566895,199.8671875
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:21:28.601156+00:00.json,humaneval,2025-10-26T05:21:28.601156+00:00,False,False,False,False,1.0,1.0,100.0,14.0165,14.0165,14.0165,1.5,4.0,199.7963161468506,199.80078125
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:27:14.588129+00:00.json,humaneval,2025-10-26T05:27:14.588129+00:00,False,False,False,False,1.0,1.0,100.0,15.518,15.518,15.518,1.35,6.0,199.7249240875244,199.77734375
humaneval | Opt✖ | Trans✖ | Shared✖ | 2025-10-26,summary_humaneval_2025-10-26T05:29:17.988510+00:00.json,humaneval,2025-10-26T05:29:17.988510+00:00,False,False,False,False,1.0,1.0,100.0,19.5236,19.5236,19.5236,1.38,4.0,199.84364891052246,199.87890625
